train/loss,step
4258.09326171875,0
4058.289306640625,1
3915.8203125,2
3842.974365234375,3
4058.375,4
4036.85400390625,5
3854.6064453125,6
3849.146484375,7
3843.711669921875,8
3867.513671875,9
3589.259765625,10
3806.0791015625,11
4134.6474609375,12
3729.18701171875,13
3643.794677734375,14
3851.90478515625,15
3860.5107421875,16
3718.94140625,17
3652.30712890625,18
4016.62939453125,19
3472.060546875,20
3552.405517578125,21
3190.383544921875,22
3247.31201171875,23
3428.835205078125,24
3568.5439453125,25
3114.98681640625,26
2979.82177734375,27
2907.239013671875,28
2976.134765625,29
2861.5419921875,30
2695.318359375,31
2741.827392578125,32
2645.23046875,33
2633.533447265625,34
2515.885986328125,35
2710.97412109375,36
2614.880615234375,37
2731.92578125,38
2613.178955078125,39
2593.8486328125,40
2599.291015625,41
2522.2431640625,42
2444.204345703125,43
2480.55859375,44
2419.387939453125,45
2452.847412109375,46
2416.2197265625,47
2380.870849609375,48
2468.6494140625,49
2502.387939453125,50
2315.61767578125,51
2359.0,52
2471.8642578125,53
2378.7353515625,54
2346.08251953125,55
2425.4326171875,56
2196.108642578125,57
2259.377197265625,58
2397.70703125,59
2356.953369140625,60
2376.055908203125,61
2209.22314453125,62
2213.134521484375,63
2296.227294921875,64
2215.12939453125,65
2321.59521484375,66
2350.841796875,67
2257.939453125,68
2260.472900390625,69
2221.6796875,70
2248.619140625,71
2254.324951171875,72
2282.2783203125,73
2102.183837890625,74
2249.954833984375,75
2315.875,76
2300.68359375,77
2296.877197265625,78
2180.230224609375,79
2148.421875,80
2266.16748046875,81
2206.024658203125,82
2066.283203125,83
2236.9990234375,84
2045.9703369140625,85
2087.5703125,86
2008.377197265625,87
2199.3173828125,88
2166.305908203125,89
2241.8271484375,90
2165.82568359375,91
2161.34521484375,92
2073.90087890625,93
2097.59619140625,94
2022.579833984375,95
2080.935546875,96
2102.1025390625,97
1924.9970703125,98
1965.590087890625,99
1914.311767578125,100
2083.283935546875,101
2042.8482666015625,102
1977.1046142578125,103
1918.990478515625,104
1879.555908203125,105
2021.37451171875,106
1966.3941650390625,107
2012.9892578125,108
1878.97607421875,109
1928.0091552734375,110
1882.107421875,111
1872.8203125,112
1781.84521484375,113
1878.734375,114
1751.5743408203125,115
1930.42138671875,116
1786.207275390625,117
1870.01611328125,118
1643.4444580078125,119
1773.687744140625,120
1888.117431640625,121
1845.6229248046875,122
1808.41943359375,123
1741.76708984375,124
1665.2843017578125,125
1873.1663818359375,126
1832.9788818359375,127
1658.7120361328125,128
1810.6536865234375,129
1783.466552734375,130
1832.3924560546875,131
1639.464599609375,132
1632.9874267578125,133
1671.863525390625,134
1763.6513671875,135
1755.3240966796875,136
1616.365966796875,137
1719.1627197265625,138
1717.9072265625,139
1769.0635986328125,140
1689.173828125,141
1602.4312744140625,142
1542.7542724609375,143
1634.7642822265625,144
1617.832275390625,145
1588.12255859375,146
1602.4351806640625,147
1570.5103759765625,148
1550.2603759765625,149
1548.40380859375,150
1641.660888671875,151
1467.144775390625,152
1550.90625,153
1489.57958984375,154
1537.7635498046875,155
1603.1029052734375,156
1487.8896484375,157
1565.663330078125,158
1449.5543212890625,159
1500.8560791015625,160
1445.7938232421875,161
1397.236083984375,162
1473.661376953125,163
1614.3861083984375,164
1563.4664306640625,165
1426.4229736328125,166
1371.553955078125,167
1335.4114990234375,168
1401.88525390625,169
1504.965087890625,170
1205.778564453125,171
1457.392578125,172
1396.005615234375,173
1398.8955078125,174
1354.89306640625,175
1505.1060791015625,176
1339.6636962890625,177
1616.3472900390625,178
1374.1953125,179
1352.0177001953125,180
1228.109619140625,181
1218.460693359375,182
1271.157470703125,183
1327.436279296875,184
